AGO	AFRICA
ATF	AFRICA
BDI	AFRICA
BEN	AFRICA
BFA	AFRICA
BWA	AFRICA
CAF	AFRICA
CIV	AFRICA
CMR	AFRICA
COD	AFRICA
COG	AFRICA
COM	AFRICA
CPV	AFRICA
DJI	AFRICA
DZA	AFRICA
EGY	AFRICA
ERI	AFRICA
ESH	AFRICA
ETH	AFRICA
GAB	AFRICA
GHA	AFRICA
GIN	AFRICA
GMB	AFRICA
GNB	AFRICA
GNQ	AFRICA
IOT	AFRICA
KEN	AFRICA
LBR	AFRICA
LBY	AFRICA
LSO	AFRICA
MAR	AFRICA
MDG	AFRICA
MLI	AFRICA
MOZ	AFRICA
MRT	AFRICA
MUS	AFRICA
MWI	AFRICA
MYT	AFRICA
NAM	AFRICA
NER	AFRICA
NGA	AFRICA
REU	AFRICA
RWA	AFRICA
SDN	AFRICA
SEN	AFRICA
SHN	AFRICA
SLE	AFRICA
SOM	AFRICA
SSD	AFRICA
STP	AFRICA
SWZ	AFRICA
SYC	AFRICA
TCD	AFRICA
TGO	AFRICA
TUN	AFRICA
TZA	AFRICA
UGA	AFRICA
ZAF	AFRICA
ZMB	AFRICA
ZWE	AFRICA
ABW	AMERICAS
AIA	AMERICAS
ARG	AMERICAS
ATG	AMERICAS
BES	AMERICAS
BHS	AMERICAS
BLM	AMERICAS
BLZ	AMERICAS
BMU	AMERICAS
BOL	AMERICAS
BRA	AMERICAS
BRB	AMERICAS
BVT	AMERICAS
CAN	AMERICAS
CHL	AMERICAS
COL	AMERICAS
CRI	AMERICAS
CUB	AMERICAS
CUW	AMERICAS
CYM	AMERICAS
DMA	AMERICAS
DOM	AMERICAS
ECU	AMERICAS
FLK	AMERICAS
GLP	AMERICAS
GRD	AMERICAS
GRL	AMERICAS
GTM	AMERICAS
GUF	AMERICAS
GUY	AMERICAS
HND	AMERICAS
HTI	AMERICAS
JAM	AMERICAS
KNA	AMERICAS
LCA	AMERICAS
MAF	AMERICAS
MEX	AMERICAS
MSR	AMERICAS
MTQ	AMERICAS
NIC	AMERICAS
PAN	AMERICAS
PER	AMERICAS
PRI	AMERICAS
PRY	AMERICAS
SGS	AMERICAS
SLV	AMERICAS
SPM	AMERICAS
SUR	AMERICAS
SXM	AMERICAS
TCA	AMERICAS
TTO	AMERICAS
URY	AMERICAS
USA	AMERICAS
VCT	AMERICAS
VEN	AMERICAS
VGB	AMERICAS
VIR	AMERICAS
ATA	ANTARCTICA
AFG	ASIA
ARE	ASIA
ARM	ASIA
AZE	ASIA
BGD	ASIA
BHR	ASIA
BRN	ASIA
BTN	ASIA
CHN	ASIA
CYP	ASIA
GEO	ASIA
HKG	ASIA
IDN	ASIA
IND	ASIA
IRN	ASIA
IRQ	ASIA
ISR	ASIA
JOR	ASIA
JPN	ASIA
KAZ	ASIA
KGZ	ASIA
KHM	ASIA
KOR	ASIA
KWT	ASIA
LAO	ASIA
LBN	ASIA
LKA	ASIA
MAC	ASIA
MDV	ASIA
MMR	ASIA
MNG	ASIA
MYS	ASIA
NPL	ASIA
OMN	ASIA
PAK	ASIA
PHL	ASIA
PRK	ASIA
PSE	ASIA
QAT	ASIA
SAU	ASIA
SGP	ASIA
SYR	ASIA
THA	ASIA
TJK	ASIA
TKM	ASIA
TLS	ASIA
TUR	ASIA
UZB	ASIA
VNM	ASIA
YEM	ASIA
ABW	CARIBBEAN
AIA	CARIBBEAN
ATG	CARIBBEAN
BES	CARIBBEAN
BHS	CARIBBEAN
BLM	CARIBBEAN
BRB	CARIBBEAN
CUB	CARIBBEAN
CUW	CARIBBEAN
CYM	CARIBBEAN
DMA	CARIBBEAN
DOM	CARIBBEAN
GLP	CARIBBEAN
GRD	CARIBBEAN
HTI	CARIBBEAN
JAM	CARIBBEAN
KNA	CARIBBEAN
LCA	CARIBBEAN
MAF	CARIBBEAN
MSR	CARIBBEAN
MTQ	CARIBBEAN
PRI	CARIBBEAN
SXM	CARIBBEAN
TCA	CARIBBEAN
TTO	CARIBBEAN
VCT	CARIBBEAN
VGB	CARIBBEAN
VIR	CARIBBEAN
BLZ	CENTRAL_AMERICA
CRI	CENTRAL_AMERICA
GTM	CENTRAL_AMERICA
HND	CENTRAL_AMERICA
MEX	CENTRAL_AMERICA
NIC	CENTRAL_AMERICA
PAN	CENTRAL_AMERICA
SLV	CENTRAL_AMERICA
ALA	EUROPE
ALB	EUROPE
AND	EUROPE
AUT	EUROPE
BEL	EUROPE
BGR	EUROPE
BIH	EUROPE
BLR	EUROPE
CHE	EUROPE
CZE	EUROPE
DEU	EUROPE
DNK	EUROPE
ESP	EUROPE
EST	EUROPE
FIN	EUROPE
FRA	EUROPE
FRO	EUROPE
GBR	EUROPE
GGY	EUROPE
GIB	EUROPE
GRC	EUROPE
HRV	EUROPE
HUN	EUROPE
IMN	EUROPE
IRL	EUROPE
ISL	EUROPE
ITA	EUROPE
JEY	EUROPE
LIE	EUROPE
LTU	EUROPE
LUX	EUROPE
LVA	EUROPE
MCO	EUROPE
MDA	EUROPE
MKD	EUROPE
MLT	EUROPE
MNE	EUROPE
NLD	EUROPE
NOR	EUROPE
POL	EUROPE
PRT	EUROPE
ROU	EUROPE
RUS	EUROPE
SJM	EUROPE
SMR	EUROPE
SRB	EUROPE
SVK	EUROPE
SVN	EUROPE
SWE	EUROPE
UKR	EUROPE
VAT	EUROPE
ARE	MIDDLE_EAST
ARM	MIDDLE_EAST
AZE	MIDDLE_EAST
BHR	MIDDLE_EAST
CYP	MIDDLE_EAST
GEO	MIDDLE_EAST
IRQ	MIDDLE_EAST
ISR	MIDDLE_EAST
JOR	MIDDLE_EAST
KWT	MIDDLE_EAST
LBN	MIDDLE_EAST
OMN	MIDDLE_EAST
PSE	MIDDLE_EAST
QAT	MIDDLE_EAST
SAU	MIDDLE_EAST
SYR	MIDDLE_EAST
TUR	MIDDLE_EAST
YEM	MIDDLE_EAST
BMU	NORTH_AMERICA
CAN	NORTH_AMERICA
GRL	NORTH_AMERICA
SPM	NORTH_AMERICA
USA	NORTH_AMERICA
ASM	OCEANIA
AUS	OCEANIA
CCK	OCEANIA
COK	OCEANIA
CXR	OCEANIA
FJI	OCEANIA
FSM	OCEANIA
GUM	OCEANIA
HMD	OCEANIA
KIR	OCEANIA
MHL	OCEANIA
MNP	OCEANIA
NCL	OCEANIA
NFK	OCEANIA
NIU	OCEANIA
NRU	OCEANIA
NZL	OCEANIA
PCN	OCEANIA
PLW	OCEANIA
PNG	OCEANIA
PYF	OCEANIA
SLB	OCEANIA
TKL	OCEANIA
TON	OCEANIA
TUV	OCEANIA
UMI	OCEANIA
VUT	OCEANIA
WLF	OCEANIA
WSM	OCEANIA
ARG	SOUTH_AMERICA
BOL	SOUTH_AMERICA
BRA	SOUTH_AMERICA
BVT	SOUTH_AMERICA
CHL	SOUTH_AMERICA
COL	SOUTH_AMERICA
ECU	SOUTH_AMERICA
FLK	SOUTH_AMERICA
GUF	SOUTH_AMERICA
GUY	SOUTH_AMERICA
PER	SOUTH_AMERICA
PRY	SOUTH_AMERICA
SGS	SOUTH_AMERICA
SUR	SOUTH_AMERICA
URY	SOUTH_AMERICA
VEN	SOUTH_AMERICA
